0,1,2,3
United States,35199465,626762,North America
India,31411262,420996,Asia
Brazil,19688663,549999,South America
Russia,6149780,154601,Europe
France,5993937,111622,Europe
United Kingdom,5697912,129158,Europe
Turkey,5601608,50934,Asia
Argentina,4846615,103721,South America
Colombia,4727846,118868,South America
Italy,4317415,127949,Europe
Spain,4280429,81221,Europe
Germany,3763002,92037,Europe
Iran,3691432,88800,Asia
Indonesia,3166505,83279,Asia
Poland,2882220,75242,Europe
Mexico,2748518,238424,North America
South Africa,2377823,69775,Africa
Ukraine,2248663,52849,Europe
Peru,2104394,195890,South America
Netherlands,1843521,17800,Europe
Czech Republic (Czechia),1672547,30357,Europe
Chile,1609177,35026,South America
Philippines,1555396,27247,Asia
Iraq,1552648,18287,Asia
Canada,1426215,26547,North America
Bangladesh,1164635,19274,Asia
Belgium,1113465,25220,Europe
Sweden,1096799,14615,Europe
Romania,1082292,34268,Europe
Malaysia,1013438,7994,Asia
Pakistan,1008446,23048,Asia
Portugal,953059,17292,Europe
Japan (+Diamond Princess),866378,15137,Asia
Israel,861516,6461,Asia
Hungary,809262,30020,Europe
Jordan,764983,9963,Asia
Serbia,720112,7104,Europe
Switzerland,712668,10903,Europe
Nepal,680556,9713,Asia
United Arab Emirates,671636,1920,Asia
Austria,656582,10732,Europe
Morocco,579272,9589,Africa
Tunisia,569289,18600,Africa
Lebanon,555302,7892,Asia
Kazakhstan,535906,5452,Asia
Saudi Arabia,518143,8167,Asia
Thailand,512678,4146,Asia
Ecuador,480720,30797,South America
Greece,475919,12874,Europe
Bolivia,468423,17651,South America
Paraguay,449341,14653,South America
Belarus,440708,3394,Europe
Panama,429949,6759,North America
Bulgaria,423686,18194,Europe
Georgia,404023,5714,Asia
Costa Rica,398608,4941,North America
Kuwait,392617,2284,Asia
Slovakia,392355,12534,Europe
Uruguay,380431,5931,South America
Croatia,362621,8245,Europe
Guatemala,352088,10100,North America
Azerbaijan,340443,5006,Asia
Dominican Republic,340053,3937,North America
Cuba,332968,2351,North America
State of Palestine,316088,3599,Asia
Denmark,311520,2542,Europe
Venezuela,299822,3492,South America
Sri Lanka,296516,4099,Asia
Ireland,292996,5026,Europe
Oman,289042,3498,Asia
Honduras,286635,7594,North America
Egypt,284024,16487,Africa
Lithuania,281063,4410,Europe
Ethiopia,278543,4369,Africa
Myanmar,269525,7111,Asia
Bahrain,268541,1383,Asia
Slovenia,258651,4428,Europe
Moldova,258624,6243,Europe
Libya,233449,3375,Africa
Armenia,228910,4590,Asia
Qatar,225198,600,Asia
Bosnia and Herzegovina,205420,9675,Europe
Kenya,197409,3865,Africa
Zambia,192071,3272,Africa
South Korea,190166,2077,Asia
Nigeria,171111,2132,Africa
Algeria,162155,4063,Africa
Kyrgyzstan,158120,2261,Asia
Mongolia,157974,782,Asia
North Macedonia,156078,5489,Europe
Afghanistan,144285,6480,Asia
Latvia,138481,2550,Europe
Norway,135767,799,Europe
Albania,132875,2456,Europe
Estonia,132524,1271,Europe
Uzbekistan,124995,839,Asia
Namibia,116603,2811,Africa
Mozambique,110288,1282,Africa
Finland,102972,978,Europe
Vietnam,101173,524,Asia
Ghana,101170,821,Africa
Montenegro,101130,1624,Europe
Zimbabwe,97894,3094,Africa
Cyprus,97718,401,Asia
Botswana,97657,1375,Africa
Uganda,92724,2579,Africa
China,92605,4636,Asia
El Salvador,84691,2567,North America
Cameroon,82003,1334,Africa
Maldives,76750,219,Asia
Cambodia,73701,1305,Asia
Luxembourg,73412,821,Europe
Singapore,64179,37,Asia
Rwanda,62946,742,Africa
Senegal,57263,1281,Africa
Jamaica,51984,1176,North America
Côte d'Ivoire,49592,324,Africa
Malawi,48637,1480,Africa
DR Congo,48128,1023,Africa
Madagascar,42599,939,Africa
Angola,41780,984,Africa
Trinidad and Tobago,37554,1039,North America
Sudan,37138,2776,Africa
Réunion,34615,266,Africa
Malta,33668,421,Europe
Cabo Verde,33577,298,Africa
Australia,33082,918,Australia/Oceania
French Guiana,29533,174,South America
Syria,25877,1906,Asia
Gabon,25325,163,Africa
Guinea,25054,202,Africa
Suriname,24875,631,South America
Mauritania,23755,535,Africa
Fiji,23139,186,Australia/Oceania
Eswatini,23005,752,Africa
Guyana,22150,527,South America
